dateymd,state,confirmed,deceased,recovered,confirmed_prev,confirmed_diff,confirmed_perc,confirmed_cum,confirmed_cum_prev,confirmed_cum_diff,confirmed_cum_perc,deceased_prev,deceased_diff,deceased_perc,deceased_cum,deceased_cum_prev,deceased_cum_diff,deceased_cum_perc,recovered_prev,recovered_diff,recovered_perc,recovered_cum,recovered_cum_prev,recovered_cum_diff,recovered_cum_perc,active,active_cum,active_prev,active_diff,active_perc,active_cum_prev,active_cum_diff,active_cum_perc
2020-03-14,India,81,2,9,0,81,0.0,81,0,81,0.0,0,2,0.0,2,0,2,0.0,0,9,0.0,9,0,9,0.0,70,70,0,70,0.0,0,70,0.0
2020-03-15,India,27,0,4,81,-54,-66.67,108,81,27,33.33,2,-2,-100.0,2,2,0,0.0,9,-5,-55.56,13,9,4,44.44,23,93,70,-47,-67.14,70,23,32.86
2020-03-16,India,15,0,1,27,-12,-44.44,123,108,15,13.89,0,0,0.0,2,2,0,0.0,4,-3,-75.0,14,13,1,7.69,14,107,23,-9,-39.13,93,14,15.05
2020-03-17,India,11,1,1,15,-4,-26.67,134,123,11,8.94,0,1,0.0,3,2,1,50.0,1,0,0.0,15,14,1,7.14,9,116,14,-5,-35.71,107,9,8.41
2020-03-18,India,37,0,0,11,26,236.36,171,134,37,27.61,1,-1,-100.0,3,3,0,0.0,1,-1,-100.0,15,15,0,0.0,37,153,9,28,311.11,116,37,31.9
2020-03-19,India,27,1,5,37,-10,-27.03,198,171,27,15.79,0,1,0.0,4,3,1,33.33,0,5,0.0,20,15,5,33.33,21,174,37,-16,-43.24,153,21,13.73
2020-03-20,India,58,0,3,27,31,114.81,256,198,58,29.29,1,-1,-100.0,4,4,0,0.0,5,-2,-40.0,23,20,3,15.0,55,229,21,34,161.9,174,55,31.61
2020-03-21,India,78,0,0,58,20,34.48,334,256,78,30.47,0,0,0.0,4,4,0,0.0,3,-3,-100.0,23,23,0,0.0,78,307,55,23,41.82,229,78,34.06
2020-03-22,India,67,3,0,78,-11,-14.1,401,334,67,20.06,0,3,0.0,7,4,3,75.0,0,0,0.0,23,23,0,0.0,64,371,78,-14,-17.95,307,64,20.85
2020-03-23,India,102,2,12,67,35,52.24,503,401,102,25.44,3,-1,-33.33,9,7,2,28.57,0,12,0.0,35,23,12,52.17,88,459,64,24,37.5,371,88,23.72
2020-03-24,India,64,1,5,102,-38,-37.25,567,503,64,12.72,2,-1,-50.0,10,9,1,11.11,12,-7,-58.33,40,35,5,14.29,58,517,88,-30,-34.09,459,58,12.64
2020-03-25,India,90,1,3,64,26,40.62,657,567,90,15.87,1,0,0.0,11,10,1,10.0,5,-2,-40.0,43,40,3,7.5,86,603,58,28,48.28,517,86,16.63
2020-03-26,India,65,5,7,90,-25,-27.78,722,657,65,9.89,1,4,400.0,16,11,5,45.45,3,4,133.33,50,43,7,16.28,53,656,86,-33,-38.37,603,53,8.79
2020-03-27,India,164,3,26,65,99,152.31,886,722,164,22.71,5,-2,-40.0,19,16,3,18.75,7,19,271.43,76,50,26,52.0,135,791,53,82,154.72,656,135,20.58
2020-03-28,India,143,5,9,164,-21,-12.8,1029,886,143,16.14,3,2,66.67,24,19,5,26.32,26,-17,-65.38,85,76,9,11.84,129,920,135,-6,-4.44,791,129,16.31
2020-03-29,India,110,3,5,143,-33,-23.08,1139,1029,110,10.69,5,-2,-40.0,27,24,3,12.5,9,-4,-44.44,90,85,5,5.88,102,1022,129,-27,-20.93,920,102,11.09
2020-03-30,India,187,13,49,110,77,70.0,1326,1139,187,16.42,3,10,333.33,40,27,13,48.15,5,44,880.0,139,90,49,54.44,125,1147,102,23,22.55,1022,125,12.23
2020-03-31,India,309,6,15,187,122,65.24,1635,1326,309,23.3,13,-7,-53.85,46,40,6,15.0,49,-34,-69.39,154,139,15,10.79,288,1435,125,163,130.4,1147,288,25.11
2020-04-01,India,424,9,16,309,115,37.22,2059,1635,424,25.93,6,3,50.0,55,46,9,19.57,15,1,6.67,170,154,16,10.39,399,1834,288,111,38.54,1435,399,27.8
2020-04-02,India,486,14,22,424,62,14.62,2545,2059,486,23.6,9,5,55.56,69,55,14,25.45,16,6,37.5,192,170,22,12.94,450,2284,399,51,12.78,1834,450,24.54
2020-04-03,India,560,14,38,486,74,15.23,3105,2545,560,22.0,14,0,0.0,83,69,14,20.29,22,16,72.73,230,192,38,19.79,508,2792,450,58,12.89,2284,508,22.24
2020-04-04,India,579,13,56,560,19,3.39,3684,3105,579,18.65,14,-1,-7.14,96,83,13,15.66,38,18,47.37,286,230,56,24.35,510,3302,508,2,0.39,2792,510,18.27
2020-04-05,India,609,22,43,579,30,5.18,4293,3684,609,16.53,13,9,69.23,118,96,22,22.92,56,-13,-23.21,329,286,43,15.03,544,3846,510,34,6.67,3302,544,16.47
2020-04-06,India,484,16,65,609,-125,-20.53,4777,4293,484,11.27,22,-6,-27.27,134,118,16,13.56,43,22,51.16,394,329,65,19.76,403,4249,544,-141,-25.92,3846,403,10.48
